tweet_id,user_id,timestamp,query,username,tweet
0,2200003313,Tue Jun 16 18:18:13 PDT 2009,NO_QUERY,DEWGetMeTho77,@Nkluvr4eva My poor little dumpling  In Holmdel vids he was really trying...Hope he dont try to hard tonight xx
0,1467998601,Mon Apr 06 23:11:18 PDT 2009,NO_QUERY,Young_J,I'm off too bed. I gotta wake up hella early tomorrow morning. 
0,2300049112,Tue Jun 23 13:40:12 PDT 2009,NO_QUERY,dougnawoschik,I havent been able to listen to it yet  My speakers are busted
0,1993474319,Mon Jun 01 10:26:09 PDT 2009,NO_QUERY,thireven,now remembers why solving a relatively big equation with two unknowns is a total pain in the butt 
0,2256551006,Sat Jun 20 12:56:51 PDT 2009,NO_QUERY,taracollins086,"Ate too much, feel sick "
0,2052381070,Sat Jun 06 00:32:23 PDT 2009,NO_QUERY,Portablemonkey,Tried to purchase a parked domain through GoDaddy. $70 down the drain  kind of like gambling...
4,1983449090,Sun May 31 13:10:36 PDT 2009,NO_QUERY,jessig06,on lunch....dj should come eat with me 
0,2245480599,Fri Jun 19 16:11:34 PDT 2009,NO_QUERY,Aligrl,Just got back from VA Tech Equine Medical Center...my poor Lilly has to be on stall rest for at least another month 
0,1770706008,Mon May 11 22:01:35 PDT 2009,NO_QUERY,leyyyy,can't log in to my other twitter account. super bummed 
4,2050057894,Fri Jun 05 17:59:34 PDT 2009,NO_QUERY,AmiAhuja,@TamaraSchilling Adventure - That's what we all need in our life. I am glad you had a great week. Thanks for yr response 
4,2052206835,Fri Jun 05 23:59:27 PDT 2009,NO_QUERY,salmafan,@PerezHilton Zach makes me pee sitting down! And I'm a grown gay man! 
4,1992273171,Mon Jun 01 08:29:05 PDT 2009,NO_QUERY,spanishman,to sum up my day in one word ......... kackered! 
4,2069921255,Sun Jun 07 16:46:29 PDT 2009,NO_QUERY,DannyMacRant,@k9wkj Great minds think alike 
0,2204735591,Wed Jun 17 03:00:02 PDT 2009,NO_QUERY,tamblah,is very tired and doesn't want to clean anymore 
4,1553585474,Sat Apr 18 14:40:00 PDT 2009,NO_QUERY,RPattz4_DEJA,@LochNessCullen thanks for the follow!  how are you nessie? 
4,1834598670,Mon May 18 03:32:38 PDT 2009,NO_QUERY,londoneater,"@SallyGreene @andrewtc04 @Syondeli thanks guys, added a couple of love handle inches after tayyabs "
4,2190762188,Tue Jun 16 03:39:22 PDT 2009,NO_QUERY,biaromerok,"i'm feeling quite sleepy today, wish i could stay in bed today...but OK! is my LAST YEAR, so let's go to school "
0,1973926318,Sat May 30 12:06:09 PDT 2009,NO_QUERY,mmmmQuiznos,"so sad...   tough game, went into PK's, screw you."
0,2003334348,Tue Jun 02 06:20:35 PDT 2009,NO_QUERY,daniellet01,@pedromelian I miss you  I wish it was the 18th already!
0,2063670404,Sun Jun 07 03:36:35 PDT 2009,NO_QUERY,ArchuVega,I'm leaving in a while... 
0,1994590113,Mon Jun 01 12:09:18 PDT 2009,NO_QUERY,sarahbatch,Oh  I've lost my ipod. What a dickhead I am.
4,2054208245,Sat Jun 06 06:49:41 PDT 2009,NO_QUERY,MTVnHollyWEST23,Whaddup Whaddup Whaddup Whaddup Whaddup  I Got white girl swag from MY HEAD TO MY shOES Whaddup @yungla 
4,1957149428,Thu May 28 23:39:26 PDT 2009,NO_QUERY,phunt,@tom_e_white http://my.safaribooksonline.com/9780596521974 -- congrats on getting out the Hadoop book (esp the ZooKeeper chapter  )
4,2191233426,Tue Jun 16 04:49:51 PDT 2009,NO_QUERY,Kate_BridgeMin,Working on photos from Hillsong's 1 year celebration!!! stay tuned   www.hillsong.co.za
0,1676986590,Fri May 01 23:59:27 PDT 2009,NO_QUERY,Libra_Style,@PrincessSuperC I heard that supernatural and click flash didn't make the cut on the final product.....why Ciara why? 
0,2230296682,Thu Jun 18 16:54:58 PDT 2009,NO_QUERY,shaestar,Willow seems almost better! Harper sounds worse  off to the Drs...
4,2058367401,Sat Jun 06 14:47:55 PDT 2009,NO_QUERY,meglizmiller,MY FAVORITE WORD IS NO! 
0,1963325135,Fri May 29 12:33:09 PDT 2009,NO_QUERY,samkrishna,@ELEWW Dood - they've locked down your Vimeo WH video. 
0,2001978561,Tue Jun 02 02:44:00 PDT 2009,NO_QUERY,kriscorrea,is having information overload... getting dizzy  http://plurk.com/p/xugag
4,1557819120,Sun Apr 19 06:08:39 PDT 2009,NO_QUERY,mathiepe,@schel You're absolutely right! 
4,1833745417,Mon May 18 00:18:37 PDT 2009,NO_QUERY,candidcomments,"@ellieowen1 Honestly, it depends on the woman.. I love dresses that tend to dip low in the back "
